MinSupp=0.3,MinConf=0.7,,,,Baja_TLEVISA=>Baja_AMXL,Baja_AMXL=>Baja_TLEVISA,Sube_WALMEX=>Sube_GFNORTE,Sube_GFNORTE=>Sube_WALMEX,Sube_CEMEX=>Sube_GFNORTE,
Baja_AMXL,Sube_GFNORTE,Sube_CEMEX,Sube_WALMEX,Baja_TLEVISA,1,1,1,1,1,
Neutral_AMXL,Baja_GFNORTE,Baja_CEMEX,Baja_WALMEX,Baja_TLEVISA,0,0,0,0,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Baja_TLEVISA=>Baja_AMXL,,,,Baja_AMXL=>Baja_TLEVISA,,,,Sube_WALMEX=>Sube_GFNORTE,,
,Baja_AMXL,No_Baja_AMXL,,,Baja_TLEVISA,No_Baja_TLEVISA,,,Sube_GFNORTE,No_Sube_GFNORTE
Baja_AMXL,13,9,,Baja_TLEVISA,13,10,,Sube_GFNORTE,16,10
No_Baja_AMXL,0,24,,No_Baja_TLEVISA,0,23,,No_Sube_GFNORTE,0,20
,,,,,,,,,,
Accuracy,0.283,,,Accuracy,0.283,,,Accuracy,0.348,
Precision_Baja_AMXL,1.000,,,Precision_Baja_TLEVISA,1.000,,,Precision_Sube_GFNORTE,1.000,
Recall_Baja_AMXL,0.591,,,Recall_Baja_TLEVISA,0.565,,,Recall_Sube_GFNORTE,0.615,
F1,0.743,,,F1,0.722,,,F1,0.762,
,,,,,,,,,,
,,,,,,,,,,
Sube_GFNORTE=>Sube_WALMEX,,,,Sube_CEMEX=>Sube_GFNORTE,,,,,,
,Sube_WALMEX,No_Sube_WALMEX,,,Sube_GFNORTE,No_Sube_GFNORTE,,,,
Sube_WALMEX,16,7,,Sube_GFNORTE,10,16,,,,
No_Sube_WALMEX,0,23,,No_Sube_GFNORTE,0,20,,,,
,,,,,,,,,,
Accuracy,0.348,,,Accuracy,0.217,,,,,
Precision_Sube_WALMEX,1.000,,,Precision_Sube_GFNORTE,1.000,,,,,
Recall_Sube_WALMEX,0.696,,,Recall_Sube_GFNORTE,0.385,,,,,
F1,0.821,,,F1,0.556,,,,,
