Date,Open,High,Low,Close,Adj Close,Volume,Clase
2016-08-01,46.540001,46.720001,46.459999,46.580002,45.616646,16728635,1
2016-08-03,46.310001,46.75,46.250000,46.669998,45.704781,20935720,0
2016-08-04,46.75,46.950001,46.590000,46.68,45.714584,975591,1
2016-08-05,46.919998,47.139999,46.820000,47.09,46.116093,11277443,0
2016-08-08,47.09,47.48,47.029999,47.200001,46.223827,11978016,1
2016-08-09,46.439999,47.639999,46.439999,47.490002,46.507832,13044974,1
2016-08-10,47.599998,47.75,47.470001,47.639999,46.654724,15939949,1
2016-08-11,47.650002,48.240002,47.650002,48.16,47.163971,31334820,1
2016-08-12,48.09,48.369999,47.970001,48.299999,47.301071,29053474,-1
2016-08-15,48.299999,48.849998,48.299999,48.599998,47.594868,30299771,-1
2016-08-16,48.509998,48.689999,48.240002,48.290001,47.291286,24571413,-1
2016-08-17,48.220001,48.529999,48.169998,48.25,47.252113,26687454,0
2016-08-18,48.57,48.580002,47.970001,48.400002,47.399006,25952599,-1
2016-08-19,48.400002,48.43,48.160000,48.299999,47.301071,20659989,-1
2016-08-22,48.439999,48.439999,47.889999,48.299999,47.301071,32232894,-1
2016-08-23,48.310001,48.5,47.570000,47.650002,46.664524,30022497,-1
2016-08-24,47.700001,47.939999,47.520000,47.779999,46.791828,36355738,0
2016-08-25,47.75,47.880001,47.660000,47.759998,46.772243,28612873,1
2016-08-26,47.889999,48.040001,47.169998,47.450001,46.468655,25167299,1
2016-08-29,47.580002,47.75,47.439999,47.66,46.674305,19446410,1
2016-08-30,47.75,47.889999,47.529999,47.73,46.742867,30454979,0
2016-08-31,47.73,47.869999,47.430000,47.73,46.742867,56227771,0
2016-09-01,47.73,47.73,47.369999,47.599998,46.615555,22948755,1
2016-09-02,47.900002,48.110001,47.660000,47.82,46.831001,22110544,-1
2016-09-05,47.950001,48.0,47.799999,47.860001,46.870174,997534,-1
2016-09-06,48.09,48.09,47.360001,47.619999,46.635136,33001285,-1
2016-09-07,47.650002,47.709999,47.209999,47.419998,46.439274,29930028,-1
2016-09-08,47.009998,47.529999,47.009998,47.450001,46.468655,19006411,-1
2016-09-09,47.639999,47.639999,46.419998,46.52,45.557892,49717272,-1
2016-09-12,46.5,46.810001,46.000000,46.73,45.763538,55609839,0
2016-09-13,46.5,46.529999,46.049999,46.18,45.224915,50601959,0
2016-09-14,46.299999,46.48,45.730000,45.799999,44.852776,36018052,0
2016-09-15,46.02,46.029999,45.720001,45.939999,44.98988,33716238,1
2016-09-19,46.09,46.09,45.799999,45.91,44.960499,28030874,1
2016-09-20,46.130001,46.450001,46.020000,46.349998,45.391407,48273836,1
2016-09-21,46.439999,47.0,46.439999,46.959999,45.988789,48754669,1
2016-09-22,47.099998,48.049999,47.099998,47.98,46.987686,45300927,0
2016-09-23,47.849998,47.849998,47.480000,47.75,46.762444,35354313,1
2016-09-26,47.75,47.75,47.169998,47.279999,46.30217,28532520,0
2016-09-27,47.299999,47.75,47.020000,47.66,46.763214,35126090,0
2016-09-28,47.84,48.130001,47.560001,47.970001,47.067387,21522869,-1
2016-09-29,48.130001,48.41,47.410000,47.599998,46.704342,35567086,-1
2016-09-30,47.25,47.77,47.099998,47.209999,46.321686,17145821,1
2016-10-03,47.200001,47.580002,47.000000,47.560001,46.665108,16777666,1
2016-10-04,47.560001,47.91,47.410000,47.860001,46.959454,24710341,-1
2016-10-05,48.0,48.169998,47.900002,48.09,47.185123,25296769,-1
2016-10-06,48.0,48.099998,47.779999,47.880001,46.979088,20435092,0
2016-10-07,47.900002,47.98,47.400002,47.549999,46.655285,17650457,0
2016-10-10,47.549999,48.32,47.549999,48.200001,47.293056,20762988,0
2016-10-11,48.189999,48.200001,47.880001,47.950001,47.04776,24926187,-1
2016-10-12,47.830002,48.029999,47.709999,47.860001,46.959454,18853431,1
2016-10-13,47.549999,47.720001,47.360001,47.689999,46.792652,25477416,0
2016-10-19,48.189999,48.529999,47.910000,48.439999,47.528538,28384975,0
2016-10-20,48.349998,48.470001,48.139999,48.220001,47.312675,21262621,1
2016-10-21,47.98,48.459999,47.910000,48.349998,47.440231,29981526,-1
2016-10-24,48.349998,48.48,48.220001,48.380001,47.469669,12061942,-1
2016-10-25,48.57,48.57,48.000000,48.049999,47.145878,22762346,1
2016-10-26,47.98,48.040001,47.660000,47.75,46.858189,16640944,1
2016-10-27,47.759998,48.09,47.700001,48.049999,47.15258,15578883,1
2016-10-28,48.080002,48.349998,47.509998,47.990002,47.093708,30500570,1
2016-10-31,47.990002,48.189999,47.840000,48.0,47.103519,19997203,-1
