Date,Open,High,Low,Close,Adj Close,Volume,Clase
2014-08-04,44.110001,44.669998,44.000000,44.57,42.875671,56824163,0
2014-08-05,44.560001,44.630001,44.290001,44.459999,42.769855,78424538,-1
2014-08-06,44.400002,44.540001,44.250000,44.459999,42.769855,46990737,-1
2014-08-07,44.68,44.68,44.070000,44.130001,42.452393,34781615,1
2014-08-08,44.25,44.25,43.880001,44.080002,42.404305,39026105,0
2014-08-11,44.080002,44.73,44.049999,44.68,42.981483,46600574,1
2014-08-12,44.610001,44.869999,44.610001,44.720001,43.019966,27037295,0
2014-08-13,44.84,44.959999,44.689999,44.720001,43.019966,27396640,1
2014-08-14,44.790001,44.869999,44.660000,44.77,43.068066,19275077,1
2014-08-15,44.790001,44.869999,44.459999,44.610001,42.914158,35270919,1
2014-08-18,44.779999,44.950001,44.730000,44.84,43.13541,25923713,0
2014-08-19,44.849998,45.009998,44.740002,44.970001,43.26046,22498313,1
2014-08-20,44.77,45.25,44.770000,45.220001,43.500965,37955839,1
2014-08-21,45.240002,45.41,45.150002,45.389999,43.664494,27949652,1
2014-08-22,45.369999,45.380001,45.150002,45.34,43.616394,26762826,1
2014-08-26,45.610001,45.66,45.400002,45.439999,43.712585,38195090,0
2014-08-27,45.200001,45.610001,45.200001,45.59,43.856892,30999956,1
2014-08-28,45.5,45.540001,45.349998,45.470001,43.741455,27274041,1
2014-08-29,45.470001,45.740002,45.470001,45.639999,43.904984,25260838,0
2014-09-01,45.549999,45.880001,45.380001,45.48,43.751068,8017628,0
2014-09-02,45.400002,45.950001,45.400002,45.84,44.097397,49738420,1
2014-09-03,45.799999,46.060001,45.799999,46.029999,44.280167,44541902,-1
2014-09-08,46.189999,46.509998,46.189999,46.380001,44.616867,35202541,0
2014-09-09,46.369999,46.400002,45.869999,45.91,44.164738,60349868,0
2014-09-10,45.970001,46.860001,45.730000,45.880001,44.135876,38465249,-1
2014-09-11,45.66,45.810001,45.590000,45.650002,43.914623,26395771,1
2014-09-12,45.599998,45.860001,45.430000,45.810001,44.068527,32837550,1
2014-09-15,45.810001,46.139999,45.730000,45.880001,44.135876,25853037,0
2014-09-17,45.349998,46.119999,45.349998,46.049999,44.299412,30556376,-1
2014-09-18,46.150002,46.23,46.009998,46.189999,44.43409,23471746,-1
2014-09-19,46.25,46.25,45.630001,45.75,44.010811,45917764,-1
2014-09-22,45.650002,45.669998,45.060001,45.279999,43.558674,62277275,0
2014-09-23,45.5,45.5,44.840000,45.0,43.289322,46593327,0
2014-09-24,45.0,45.279999,44.990002,45.150002,43.43362,33434524,0
2014-09-25,44.919998,45.139999,44.630001,44.759998,43.058445,37999330,-1
2014-09-26,44.540001,44.93,44.540001,44.900002,43.193123,35536346,1
2014-09-29,44.549999,44.93,44.389999,44.900002,43.193123,42686225,-1
2014-09-30,44.889999,45.029999,44.779999,44.950001,43.241219,46785766,1
2014-10-02,44.580002,44.580002,43.939999,44.25,42.567833,59174305,1
2014-10-03,44.259998,44.700001,44.259998,44.66,42.962246,39275064,-1
2014-10-06,44.950001,45.240002,44.720001,44.82,43.116158,44759497,-1
2014-10-07,44.790001,44.790001,44.459999,44.540001,42.846809,46434398,0
2014-10-08,44.509998,44.720001,44.130001,44.540001,42.846809,57619434,-1
2014-10-09,44.759998,44.759998,44.029999,44.110001,42.433163,63908919,-1
2014-10-10,44.099998,44.099998,43.320000,43.41,41.759762,55660382,0
2014-10-13,43.599998,43.599998,43.049999,43.130001,41.490417,41371648,0
2014-10-14,43.0,43.360001,43.000000,43.18,41.538509,43822715,1
2014-10-15,42.950001,43.080002,42.439999,43.02,41.38459,85472632,1
2014-10-16,42.799999,43.139999,42.459999,42.939999,41.307632,61677572,1
2014-10-17,43.450001,43.580002,43.200001,43.299999,41.653957,31522438,1
2014-10-20,43.07,43.360001,43.020000,43.23,41.586609,23089935,1
2014-10-21,43.439999,43.73,43.320000,43.610001,41.952168,74359804,0
2014-10-22,43.459999,43.849998,43.430000,43.459999,41.807858,51743914,0
2014-10-23,43.619999,43.880001,43.590000,43.700001,42.038746,31189188,0
2014-10-24,43.700001,43.82,43.599998,43.669998,42.009884,24454686,1
2014-10-27,43.599998,43.869999,43.410000,43.790001,42.125317,22132420,0
2014-10-28,43.900002,44.209999,43.880001,44.07,42.394669,38496988,0
2014-10-29,44.139999,44.299999,44.049999,44.240002,42.55822,59255591,1
2014-10-30,44.240002,44.630001,44.139999,44.599998,42.904514,53013148,-1
2014-10-31,44.73,45.23,44.730000,45.0,43.289322,82761502,-1
