Date,Open,High,Low,Close,Adj Close,Volume,Clase
2014-11-03,44.950001,45.220001,44.900002,45.16,43.460526,33522110,0
2014-11-04,44.93,45.200001,44.849998,44.900002,43.210312,24496511,-1
2014-11-05,45.0,45.139999,44.849998,45.110001,43.412418,46392177,-1
2014-11-06,45.189999,45.220001,44.790001,44.849998,43.162189,48275849,0
2014-11-07,44.990002,44.990002,44.599998,44.619999,42.940849,22569672,-1
2014-11-10,44.709999,44.740002,44.439999,44.52,42.844612,27955545,0
2014-11-11,44.900002,44.900002,44.169998,44.299999,42.632889,38264369,0
2014-11-12,44.279999,44.279999,43.610001,43.740002,42.09396,62606013,1
2014-11-14,43.610001,43.610001,43.279999,43.389999,41.757133,43595436,1
2014-11-20,44.0,44.220001,43.919998,44.18,42.51741,26324080,1
2014-11-21,44.75,44.91,44.619999,44.650002,42.969715,63548247,-1
2014-11-24,44.799999,44.799999,44.560001,44.619999,42.940849,20707457,-1
2014-11-25,44.799999,44.799999,44.400002,44.450001,42.777248,24517418,-1
2014-11-26,44.5,44.740002,44.500000,44.700001,43.017838,27534003,-1
2014-11-27,44.689999,44.75,44.639999,44.709999,43.027466,3378762,-1
2014-11-28,44.509998,44.580002,44.110001,44.209999,42.546284,34973913,-1
2014-12-02,43.400002,43.610001,42.880001,43.029999,41.410686,51914580,0
2014-12-03,43.23,43.34,42.630001,43.099998,41.47805,101991267,-1
2014-12-04,42.990002,43.02,42.709999,42.82,41.208595,45047783,-1
2014-12-05,42.970001,43.310001,42.840000,43.209999,41.583904,29639353,-1
2014-12-08,43.259998,43.259998,42.740002,42.93,41.314445,34568628,-1
2014-12-09,42.689999,42.689999,42.110001,42.330002,40.73703,80119821,-1
2014-12-10,42.200001,42.330002,41.220001,41.330002,39.774662,83181255,-1
2014-12-11,41.330002,42.029999,41.299999,41.720001,40.14999,133523223,0
2014-12-15,41.450001,41.450001,40.169998,40.290001,38.7738,10884424,1
2014-12-16,39.889999,40.849998,39.549999,40.189999,38.677563,145197057,1
2014-12-17,40.200001,41.389999,40.200001,40.98,39.437832,96237656,0
2014-12-18,41.549999,42.740002,41.500000,42.48,40.881382,105880817,0
2014-12-22,42.759998,42.900002,42.529999,42.84,41.227833,22322126,0
2014-12-23,43.02,43.189999,42.889999,43.139999,41.516541,25410074,1
2014-12-24,43.16,43.16,42.939999,43.040001,41.420315,3983124,0
2014-12-26,43.02,43.169998,42.930000,42.970001,41.352936,9175893,0
2014-12-29,43.060001,43.349998,42.950001,43.169998,41.545418,16122285,-1
2014-12-30,43.02,43.68,42.849998,43.27,41.641655,24405723,-1
2014-12-31,43.080002,43.220001,43.000000,43.099998,41.47805,11134704,-1
2015-01-02,43.32,43.32,41.970001,42.09,40.506058,40404827,1
2015-01-06,41.18,41.470001,40.709999,41.310001,39.755409,91432017,0
2015-01-07,41.700001,41.939999,41.500000,41.810001,40.236599,63777815,0
2015-01-08,42.349998,42.57,42.139999,42.41,40.814022,44759210,-1
2015-01-09,42.41,42.509998,41.930000,42.380001,40.785149,75927847,0
2015-01-12,42.400002,42.48,41.770000,41.830002,40.25584,49358754,-1
2015-01-13,42.0,42.25,41.310001,41.5,39.938267,83354981,0
2015-01-14,41.0,41.380001,40.799999,40.970001,39.4282,121635988,1
2015-01-15,41.200001,41.279999,40.810001,41.02,39.47633,70154754,1
2015-01-21,41.709999,42.580002,41.570000,42.5,40.900631,85632443,-1
2015-01-22,42.650002,43.169998,42.610001,43.130001,41.506924,90545034,-1
2015-01-23,43.040001,43.060001,42.610001,42.639999,41.035362,38137002,-1
2015-01-26,42.439999,42.849998,42.369999,42.73,41.121967,36622740,0
2015-01-27,42.279999,42.689999,42.150002,42.650002,41.044991,64099155,-1
2015-01-28,42.650002,42.779999,42.150002,42.189999,40.602295,64777242,-1
2015-01-29,42.209999,42.25,41.750000,41.849998,40.275089,56842703,0
2015-01-30,41.82,41.82,40.849998,40.919998,39.380089,78679247,-1
