Date,Open,High,Low,Close,Adj Close,Volume,Clase
2016-11-01,48.02,48.049999,47.060001,47.290001,46.406776,44721351,0
2016-11-03,47.290001,47.470001,46.610001,46.669998,45.798355,27366005,1
2016-11-04,46.900002,47.330002,46.410000,46.709999,45.837605,37370769,-1
2016-11-08,48.310001,48.619999,48.029999,48.48,47.574554,41405773,-1
2016-11-09,46.0,47.950001,46.000000,47.419998,46.534344,62426686,-1
2016-11-10,47.5,47.919998,45.119999,45.32,44.473572,70637574,1
2016-11-11,45.32,45.689999,44.790001,45.0,44.159542,50400876,-1
2016-11-14,45.0,46.0,45.000000,45.369999,44.522636,37280636,-1
2016-11-15,45.610001,46.200001,45.020000,45.099998,44.257671,29554236,0
2016-11-16,45.299999,45.540001,44.900002,45.040001,44.198807,26188262,0
2016-11-17,45.0,45.450001,44.939999,45.009998,44.169357,22316666,1
2016-11-18,44.939999,45.130001,44.119999,44.470001,43.639446,33210878,0
2016-11-22,44.599998,45.009998,44.599998,44.970001,44.130104,24073027,1
2016-11-23,44.900002,45.349998,44.700001,45.299999,44.453938,16571841,0
2016-11-25,45.220001,45.43,45.080002,45.290001,44.444134,12674271,0
2016-11-28,45.43,45.490002,45.110001,45.450001,44.601135,16570377,-1
2016-11-29,45.5,45.5,45.259998,45.330002,44.483383,20130000,-1
2016-11-30,45.5,45.619999,44.990002,45.349998,44.50301,46468724,-1
2016-12-01,45.5,45.700001,44.790001,44.84,44.002537,36972381,1
2016-12-02,44.84,45.0,44.450001,44.52,43.688522,30918771,1
2016-12-05,44.689999,45.040001,44.689999,44.880001,44.04179,29878399,0
2016-12-06,44.91,45.119999,44.820000,45.040001,44.198807,55105753,1
2016-12-07,45.040001,45.619999,45.040001,45.57,44.718895,36106309,1
2016-12-08,45.580002,46.360001,45.580002,46.310001,45.445087,36955824,0
2016-12-09,46.099998,46.939999,46.070000,46.860001,45.984814,38628325,-1
2016-12-13,46.66,47.18,46.320000,46.810001,45.935745,26968648,0
2016-12-14,46.740002,46.75,45.930000,46.18,45.317505,43841728,0
2016-12-15,46.25,46.25,45.820000,45.869999,45.013298,33766732,0
2016-12-16,45.799999,45.799999,45.020000,45.080002,44.238052,30289634,0
2016-12-19,45.25,45.25,44.849998,44.860001,44.022163,11768216,0
2016-12-20,45.049999,45.27,44.730000,44.91,44.071224,12515515,1
2016-12-21,44.950001,45.099998,44.799999,44.990002,44.149742,9865398,1
2016-12-22,45.369999,45.369999,44.520000,45.0,44.159542,10325742,1
2016-12-23,44.880001,45.220001,44.869999,45.139999,44.296928,4352812,1
2016-12-26,45.25,45.25,44.549999,45.130001,44.287121,879571,1
2016-12-27,45.130001,45.34,45.090000,45.290001,44.444134,13554202,1
2016-12-28,45.209999,45.639999,45.209999,45.599998,44.748337,7412070,0
2016-12-29,44.939999,46.040001,44.939999,45.93,45.072178,14122113,0
2016-12-30,45.959999,45.98,45.419998,45.630001,44.777779,9111674,1
2017-01-03,45.950001,46.470001,45.730000,46.119999,45.258633,28530117,0
2017-01-04,46.25,46.66,46.090000,46.59,45.719856,36024352,-1
2017-01-05,46.5,46.84,46.310001,46.75,45.876858,24933618,0
2017-01-06,46.849998,46.849998,46.029999,46.080002,45.219372,24619235,1
2017-01-09,45.84,46.009998,45.360001,45.549999,44.699268,15580197,1
2017-01-10,45.779999,45.950001,45.599998,45.91,45.052551,15780346,0
2017-01-11,45.919998,46.040001,45.599998,45.950001,45.091801,22090212,0
2017-01-12,45.82,46.240002,45.779999,46.07,45.209568,41714653,-1
2017-01-13,46.200001,46.41,46.090000,46.200001,45.337135,24779761,0
2017-01-16,46.200001,46.200001,45.750000,45.790001,44.934788,2437342,1
2017-01-17,45.790001,46.150002,45.790001,46.009998,45.150684,83983268,0
2017-01-18,46.009998,46.450001,46.009998,46.360001,45.494152,36438885,0
2017-01-19,46.439999,46.439999,46.070000,46.27,45.40583,21457461,0
2017-01-20,46.259998,46.41,46.020000,46.330002,45.464706,23248892,1
2017-01-23,46.360001,47.240002,46.360001,47.139999,46.259579,28104812,1
2017-01-24,47.0,48.23,47.000000,48.18,47.280151,52588286,-1
2017-01-25,48.009998,48.639999,47.900002,48.27,47.368473,36443848,-1
2017-01-26,48.049999,48.049999,47.360001,47.540001,46.700336,30216851,-1
2017-01-27,47.619999,47.68,47.180000,47.400002,46.562817,31232974,0
2017-01-30,47.150002,47.23,46.750000,47.040001,46.209179,35393814,-1
2017-01-31,47.09,47.240002,46.860001,46.970001,46.140408,19859569,-1
