Date,Open,High,Low,Close,Adj Close,Volume,Clase
2017-05-02,49.5,49.799999,49.439999,49.759998,48.893246,12626615,-1
2017-05-03,49.73,49.73,49.230000,49.259998,48.401955,19735289,1
2017-05-04,49.369999,49.369999,49.040001,49.169998,48.313519,21387042,0
2017-05-05,49.0,49.66,49.000000,49.639999,48.775341,5316031,1
2017-05-08,49.830002,49.830002,49.540001,49.68,48.81464,9081945,-1
2017-05-10,50.110001,50.34,50.049999,50.119999,49.246975,14019306,-1
2017-05-11,50.389999,50.389999,49.680000,49.75,48.883419,24544011,0
2017-05-12,49.66,49.700001,49.459999,49.66,48.794987,9745315,-1
2017-05-15,49.66,49.950001,49.660000,49.880001,49.011158,11435722,0
2017-05-16,50.0,50.029999,49.639999,49.669998,48.804817,11939197,0
2017-05-17,49.599998,49.599998,48.939999,48.970001,48.11702,40879306,1
2017-05-18,48.93,48.939999,48.360001,48.540001,47.6945,48510880,0
2017-05-19,48.73,49.41,48.730000,49.279999,48.421608,26618962,0
2017-05-22,49.490002,49.639999,48.990002,49.150002,48.293877,15846517,1
2017-05-23,49.18,49.360001,49.009998,49.259998,48.401955,15429986,-1
2017-05-25,49.799999,49.939999,49.580002,49.630001,48.765514,8169466,-1
2017-05-26,49.59,49.73,49.250000,49.66,49.049316,11383646,-1
2017-05-29,49.66,49.939999,49.410000,49.5,48.891289,2450238,-1
2017-05-30,49.41,49.66,49.099998,49.299999,48.693745,16454348,1
2017-05-31,49.43,49.43,48.770000,48.810001,48.209766,19273560,1
2017-06-01,49.02,49.240002,48.959999,49.110001,48.506081,22497199,0
2017-06-02,49.240002,49.380001,49.029999,49.330002,48.723381,14106468,-1
2017-06-05,49.330002,49.639999,49.200001,49.610001,48.999935,15022081,0
2017-06-06,49.799999,49.799999,49.200001,49.25,48.64436,13087830,0
2017-06-07,49.299999,49.330002,49.049999,49.299999,48.693745,8640048,-1
2017-06-08,49.279999,49.389999,49.060001,49.119999,48.515957,11588881,0
2017-06-09,49.119999,49.27,49.009998,49.099998,48.496204,16252291,0
2017-06-12,49.200001,49.279999,49.000000,49.16,48.55547,12385642,0
2017-06-13,49.290001,49.290001,49.009998,49.060001,48.456688,14885454,0
2017-06-14,49.169998,49.450001,49.080002,49.34,48.73325,23605938,0
2017-06-15,49.240002,49.25,48.919998,49.189999,48.585094,11812406,0
2017-06-16,49.150002,49.509998,48.919998,49.349998,48.743126,22652064,-1
2017-06-19,49.400002,49.549999,49.000000,49.23,48.624599,15045423,0
2017-06-20,49.220001,49.220001,49.009998,49.110001,48.506081,11812868,0
2017-06-21,49.310001,49.310001,48.939999,49.02,48.417187,13630931,1
2017-06-22,48.939999,49.099998,48.869999,49.07,48.466576,7543169,0
2017-06-23,49.189999,49.189999,48.939999,49.029999,48.427063,9988856,1
2017-06-26,49.41,49.470001,49.080002,49.360001,48.753006,16091881,1
2017-06-27,49.220001,49.259998,49.090000,49.209999,48.681328,18358553,1
2017-06-28,49.209999,49.549999,49.200001,49.490002,48.958317,16398090,1
2017-06-29,49.34,49.5,49.150002,49.32,48.790146,15284792,0
2017-06-30,49.150002,50.040001,49.150002,50.009998,49.472733,21080636,0
2017-07-03,50.060001,50.459999,50.020000,50.200001,49.66069,14456672,-1
2017-07-04,50.27,50.549999,50.099998,50.16,49.62112,2721926,0
2017-07-05,50.16,50.5,50.160000,50.450001,49.908009,27706558,-1
2017-07-06,50.25,50.330002,50.020000,50.16,49.62112,11957264,1
2017-07-07,50.119999,50.32,49.849998,50.209999,49.670586,24116930,1
2017-07-10,50.200001,50.799999,50.110001,50.75,50.204781,15655890,1
2017-07-11,50.75,51.0,50.610001,50.639999,50.095963,14573107,0
2017-07-12,51.02,51.330002,50.689999,51.02,50.471878,18746928,1
2017-07-13,50.959999,51.209999,50.880001,51.18,50.630161,17256045,0
2017-07-14,51.189999,51.52,51.060001,51.34,50.788445,14892969,0
2017-07-17,51.490002,51.599998,51.189999,51.549999,50.996193,12683771,0
2017-07-18,51.790001,51.790001,51.230000,51.32,50.768661,15414727,1
2017-07-19,51.880001,51.880001,51.119999,51.279999,50.729084,9420553,1
2017-07-20,51.330002,51.459999,51.279999,51.360001,50.808228,10098768,1
2017-07-21,51.830002,51.830002,51.310001,51.759998,51.203934,27645019,-1
2017-07-24,51.709999,51.939999,51.419998,51.880001,51.322643,50472010,-1
2017-07-25,51.299999,52.0,51.299999,51.919998,51.362213,25585443,-1
2017-07-26,51.900002,51.900002,51.500000,51.59,51.264408,27821066,-1
2017-07-27,51.43,51.52,51.110001,51.25,50.926556,13931895,0
2017-07-28,52.169998,52.169998,50.860001,51.209999,50.886806,13284946,0
2017-07-31,51.5,51.5,50.939999,51.040001,50.71788,11603344,-1
