Date,Open,High,Low,Close,Adj Close,Volume,Clase
2017-02-01,47.25,47.25,46.740002,46.98,46.150227,32076608,0
2017-02-02,46.880001,47.119999,46.869999,47.07,46.23864,31393046,0
2017-02-03,47.07,47.25,46.770000,47.189999,46.356518,29340753,-1
2017-02-07,47.189999,47.189999,46.590000,46.689999,45.865353,34667176,1
2017-02-08,46.740002,46.950001,46.580002,46.869999,46.042175,34707709,0
2017-02-09,46.990002,47.43,46.970001,47.150002,46.31723,42516297,1
2017-02-10,47.18,48.049999,47.180000,47.759998,46.916458,34264083,-1
2017-02-13,47.970001,47.990002,47.400002,47.599998,46.759277,29273213,0
2017-02-14,47.650002,47.650002,47.209999,47.369999,46.533333,29933270,-1
2017-02-15,47.32,47.450001,47.020000,47.099998,46.268112,19785030,-1
2017-02-16,47.23,47.400002,47.119999,47.259998,46.425289,27624484,1
2017-02-17,46.669998,47.25,46.669998,47.150002,46.31723,19208649,0
2017-02-20,47.25,47.599998,46.820000,47.029999,46.199348,6300147,-1
2017-02-21,47.119999,47.630001,47.119999,47.57,46.729805,36951364,-1
2017-02-22,47.57,47.57,47.130001,47.169998,46.336872,27763313,0
2017-02-23,47.200001,47.41,46.830002,47.200001,46.366348,28044764,-1
2017-02-24,46.970001,47.080002,46.619999,47.060001,46.228821,25647836,-1
2017-02-27,47.119999,47.459999,46.919998,47.34,46.503876,28205744,1
2017-02-28,47.27,47.279999,46.689999,46.860001,46.032356,21063396,0
2017-03-01,47.0,47.560001,47.000000,47.419998,46.582455,26125533,0
2017-03-02,47.599998,47.599998,46.990002,47.330002,46.494049,16361608,1
2017-03-03,47.470001,47.650002,47.060001,47.459999,46.621754,17174637,0
2017-03-06,47.369999,47.98,47.099998,47.950001,47.1031,21841655,-1
2017-03-07,47.91,47.91,47.459999,47.5,46.661049,20333111,-1
2017-03-08,47.5,47.799999,47.459999,47.599998,46.759277,10034493,-1
2017-03-09,47.360001,47.490002,47.139999,47.34,46.503876,12407595,0
2017-03-10,47.34,47.580002,47.130001,47.18,46.346699,9344724,0
2017-03-13,47.41,47.41,47.029999,47.150002,46.31723,13436634,1
2017-03-14,47.009998,47.259998,46.660000,47.150002,46.31723,16741437,1
2017-03-15,47.110001,47.650002,46.959999,47.529999,46.690521,17557569,1
2017-03-16,47.529999,48.400002,47.509998,48.119999,47.270096,35605578,1
2017-03-17,48.09,48.700001,48.009998,48.650002,47.790741,28705460,-1
2017-03-21,48.66,49.290001,48.630001,48.650002,47.790741,26505211,1
2017-03-22,48.68,48.68,48.279999,48.549999,47.692501,13695524,1
2017-03-23,48.310001,48.98,48.310001,48.73,47.86932,19626054,0
2017-03-27,49.16,49.41,48.830002,49.369999,48.498013,19328885,-1
2017-03-28,49.369999,49.490002,49.189999,49.290001,48.419434,16164625,0
2017-03-29,49.25,49.25,48.900002,49.0,48.13456,17069121,-1
2017-03-30,49.080002,49.080002,48.700001,48.830002,47.96756,12717367,1
2017-03-31,48.790001,48.869999,48.459999,48.52,47.663036,8592294,0
2017-04-03,48.619999,48.970001,48.619999,48.830002,47.96756,10148498,0
2017-04-04,49.049999,49.349998,48.810001,49.290001,48.419434,14271740,-1
2017-04-05,49.43,49.549999,49.090000,49.169998,48.301544,13949064,1
2017-04-06,49.18,49.209999,48.830002,48.990002,48.124733,8001153,1
2017-04-07,49.02,49.380001,49.000000,49.310001,48.439083,8972353,0
2017-04-10,49.5,49.57,49.139999,49.509998,48.635544,8736613,-1
2017-04-11,49.5,49.689999,49.080002,49.630001,48.753429,17604986,-1
2017-04-12,49.490002,49.490002,48.900002,48.939999,48.075611,10239840,0
2017-04-17,48.970001,49.189999,48.910000,48.98,48.114906,4834585,1
2017-04-18,48.91,48.91,48.340000,48.720001,47.859501,15769165,1
2017-04-19,48.720001,48.91,48.720001,48.849998,47.987198,16882963,0
2017-04-20,49.0,49.16,48.740002,49.139999,48.272076,13247140,0
2017-04-21,49.099998,49.139999,48.869999,49.099998,48.232788,8541103,0
2017-04-24,49.240002,49.66,49.240002,49.52,48.645374,15833619,-1
2017-04-25,49.599998,49.939999,49.599998,49.900002,49.030815,14256187,-1
2017-04-26,49.959999,50.200001,49.200001,49.669998,48.804817,19472947,-1
2017-04-27,49.91,49.91,49.360001,49.560001,48.696735,11739844,0
2017-04-28,49.450001,49.509998,49.240002,49.380001,48.519871,2840678,-1
